"pwsid","pop1990","pop2000","pop2010","cwsPop","under18","age18to34","age35to59","age60to64","over65","Asian","Black","Native","Other","White","Hispanic","d0to24k","d25to49k","d50to74k","d75to100k","d100to125k","d125to150k","d150kmore","built_2010later","built_2000to2009","built_1990to1999","built_1980to1989","built_1970to1979","built_1960to1969","built_1950to1959","built_1940to1949","built_1939early","keep"
"TX1160005",1601,1772,1917,2004,23.24,19.53,31.78,7.05,18.4,0.08,5.46,0.28,3.32,90.86,6.61,18.89,21.59,19.5,15.68,13.85,4.38,6.11,4.86,15.51,13.67,11.24,14.13,6.75,12.7,6,15.14,"keep"
"TX1160007",1463,1786,1757,1584,23.93,15.06,33.45,9.14,18.43,0.41,0.25,0.51,9.01,89.81,19.36,32.89,15.61,19.28,16.2,8.89,3.04,4.08,1.84,15.16,15.13,27,18.97,14.97,4.9,0.98,1.06,"keep"
"TX1160018",10227,13558,18965,21891,24.3,17.92,34.1,7.13,16.55,1.29,3.56,0.57,7.17,87.41,13.72,13.82,20.48,20.77,15.39,8.66,7.38,13.49,9.11,25.28,18.63,16.94,13.85,8.64,3.11,1.62,2.82,"keep"
"TX1160031",1068,1172,1239,1113,22.48,18.74,32.18,7.35,19.25,0.86,4.35,0.52,9.95,84.32,15.34,26.42,22.44,11.13,16.25,10.24,1.96,11.57,9.47,11.97,16.57,16.84,16.84,13.48,4.17,5.96,4.71,"keep"
"TX1170001",15573,14220,13147,12865,26.35,23.43,30.49,5.51,14.22,0.38,1.73,1.31,7.34,89.24,29.96,28.58,26.02,14.22,12.79,9.71,3.04,5.64,4.47,1.29,4.73,13.72,9.68,20,28.29,12.59,5.23,"keep"
"TX1170003",2812,2505,2420,1881,24.16,17.93,23.22,8.89,25.79,0.84,0.79,0,8.65,89.72,19.42,35.76,31.02,9.32,10.51,2.03,3.05,8.31,0,5.63,11.36,10.03,9.31,17.09,38.79,5.63,2.15,"keep"
"TX1180002",651,692,634,700,26.23,19.57,28.09,9.26,16.85,0,4.07,0,19.81,76.11,25.56,14.24,36.67,15.76,14.24,8.18,10.91,0,6.07,7.39,19,11.61,2.9,14.51,15.57,8.97,13.98,"keep"
"TX1190002",3325,4320,4361,4405,24.7,21.6,31.33,5.69,16.67,0,4.75,0.13,2.36,92.76,21.47,28.41,19.53,22.1,8,5.62,8.34,8,5.33,12.35,10.78,8.88,14.55,10.15,15.52,10.44,12.01,"keep"
"TX1200022",1263,1600,1605,1269,24.02,19.58,36.54,4.54,15.32,0.59,0.55,0,5.41,93.45,42.42,4.7,16.02,17.68,19.61,33.43,2.49,6.08,11.24,22.48,21.91,9.39,3.84,10.38,2.99,0,17.78,"too small"
"TX1230001",104593,114123,116781,118129,24.66,25.31,29.9,6.22,13.9,2.98,46.44,0.33,3.43,46.81,16.24,27.18,22.21,19.02,10.89,6.98,4.05,9.67,7.38,13.44,10.93,11.46,17.5,17.43,12.72,4.1,5.03,"keep"
